run,frame,clusters
1,50,9
1,100,9
1,150,8
1,200,6
1,250,6
1,300,6
1,350,5
1,400,5
1,450,4
1,500,4
1,550,4
1,600,3
1,650,3
1,700,3
1,750,3
1,800,2
1,850,2
1,900,2
1,950,2
1,1000,2
1,1050,2
1,1100,2
1,1150,2
1,1200,2
1,1250,2
1,1300,2
1,1350,2
1,1400,2
1,1450,2
1,1500,2
1,1550,2
1,1600,2
1,1650,2
1,1700,2
1,1750,2
1,1800,2
1,1850,2
1,1900,2
1,1950,2
1,2000,2
1,2050,2
1,2100,2
1,2150,2
1,2200,2
1,2250,2
1,2300,2
1,2350,2
1,2400,2
1,2450,2
1,2500,2
1,2550,2
1,2600,2
1,2650,2
1,2700,2
1,2750,2
1,2800,2
1,2850,2
1,2900,2
1,2950,2
1,3000,2
2,50,9
2,100,9
2,150,8
2,200,6
2,250,6
2,300,6
2,350,5
2,400,5
2,450,4
2,500,4
2,550,4
2,600,3
2,650,3
2,700,3
2,750,3
2,800,3
2,850,3
2,900,4
2,950,3
2,1000,3
2,1050,3
2,1100,3
2,1150,3
2,1200,3
2,1250,3
2,1300,3
2,1350,1
2,1400,1
2,1450,1
2,1500,1
2,1550,1
2,1600,1
2,1650,1
2,1700,1
2,1750,1
2,1800,1
2,1850,1
2,1900,1
2,1950,1
2,2000,1
2,2050,1
2,2100,1
2,2150,1
2,2200,1
2,2250,1
2,2300,1
2,2350,1
2,2400,1
2,2450,1
2,2500,1
2,2550,1
2,2600,1
2,2650,1
2,2700,1
2,2750,1
2,2800,1
2,2850,1
2,2900,1
2,2950,1
2,3000,1
3,50,8
3,100,8
3,150,8
3,200,8
3,250,8
3,300,8
3,350,8
3,400,7
3,450,7
3,500,7
3,550,7
3,600,7
3,650,7
3,700,6
3,750,6
3,800,6
3,850,5
3,900,4
3,950,4
3,1000,3
3,1050,3
3,1100,3
3,1150,3
3,1200,3
3,1250,2
3,1300,2
3,1350,2
3,1400,2
3,1450,2
3,1500,2
3,1550,2
3,1600,2
3,1650,1
3,1700,1
3,1750,1
3,1800,1
3,1850,1
3,1900,1
3,1950,1
3,2000,1
3,2050,1
3,2100,1
3,2150,1
3,2200,1
3,2250,1
3,2300,1
3,2350,1
3,2400,1
3,2450,1
3,2500,1
3,2550,1
3,2600,1
3,2650,1
3,2700,1
3,2750,1
3,2800,1
3,2850,1
3,2900,1
3,2950,1
3,3000,1
4,50,9
4,100,9
4,150,8
4,200,7
4,250,7
4,300,8
4,350,7
4,400,7
4,450,6
4,500,7
4,550,5
4,600,4
4,650,3
4,700,3
4,750,3
4,800,3
4,850,3
4,900,3
4,950,3
4,1000,2
4,1050,2
4,1100,2
4,1150,2
4,1200,2
4,1250,2
4,1300,2
4,1350,2
4,1400,2
4,1450,2
4,1500,2
4,1550,2
4,1600,2
4,1650,2
4,1700,2
4,1750,2
4,1800,2
4,1850,2
4,1900,2
4,1950,2
4,2000,2
4,2050,2
4,2100,2
4,2150,2
4,2200,2
4,2250,2
4,2300,2
4,2350,2
4,2400,2
4,2450,2
4,2500,2
4,2550,2
4,2600,2
4,2650,2
4,2700,2
4,2750,2
4,2800,2
4,2850,2
4,2900,2
4,2950,2
4,3000,2
5,50,8
5,100,8
5,150,8
5,200,8
5,250,7
5,300,7
5,350,7
5,400,6
5,450,6
5,500,6
5,550,6
5,600,6
5,650,4
5,700,3
5,750,4
5,800,3
5,850,4
5,900,3
5,950,2
5,1000,2
5,1050,2
5,1100,2
5,1150,2
5,1200,2
5,1250,2
5,1300,1
5,1350,1
5,1400,1
5,1450,1
5,1500,1
5,1550,1
5,1600,1
5,1650,1
5,1700,1
5,1750,1
5,1800,1
5,1850,1
5,1900,1
5,1950,1
5,2000,1
5,2050,1
5,2100,1
5,2150,1
5,2200,1
5,2250,1
5,2300,1
5,2350,1
5,2400,1
5,2450,1
5,2500,1
5,2550,1
5,2600,1
5,2650,1
5,2700,1
5,2750,1
5,2800,1
5,2850,1
5,2900,1
5,2950,1
5,3000,1
6,50,9
6,100,9
6,150,8
6,200,6
6,250,6
6,300,6
6,350,5
6,400,5
6,450,6
6,500,6
6,550,5
6,600,5
6,650,5
6,700,4
6,750,2
6,800,2
6,850,2
6,900,2
6,950,2
6,1000,2
6,1050,2
6,1100,2
6,1150,1
6,1200,1
6,1250,1
6,1300,1
6,1350,1
6,1400,1
6,1450,1
6,1500,1
6,1550,1
6,1600,1
6,1650,1
6,1700,1
6,1750,1
6,1800,1
6,1850,1
6,1900,1
6,1950,1
6,2000,1
6,2050,1
6,2100,1
6,2150,1
6,2200,1
6,2250,1
6,2300,1
6,2350,1
6,2400,1
6,2450,1
6,2500,1
6,2550,1
6,2600,1
6,2650,1
6,2700,1
6,2750,1
6,2800,1
6,2850,1
6,2900,1
6,2950,1
6,3000,1
7,50,8
7,100,8
7,150,8
7,200,8
7,250,8
7,300,8
7,350,8
7,400,8
7,450,8
7,500,7
7,550,7
7,600,6
7,650,4
7,700,4
7,750,4
7,800,4
7,850,4
7,900,4
7,950,4
7,1000,4
7,1050,3
7,1100,1
7,1150,1
7,1200,1
7,1250,1
7,1300,1
7,1350,1
7,1400,1
7,1450,1
7,1500,1
7,1550,1
7,1600,1
7,1650,1
7,1700,1
7,1750,1
7,1800,1
7,1850,1
7,1900,1
7,1950,1
7,2000,1
7,2050,1
7,2100,1
7,2150,1
7,2200,1
7,2250,1
7,2300,1
7,2350,1
7,2400,1
7,2450,1
7,2500,1
7,2550,1
7,2600,1
7,2650,1
7,2700,1
7,2750,1
7,2800,1
7,2850,1
7,2900,1
7,2950,1
7,3000,1
8,50,9
8,100,9
8,150,8
8,200,7
8,250,7
8,300,8
8,350,8
